master_key,source_id,trade_name,active_ingredient,strength,dosage_form,package_shape,manufacturer_ar,source,source_uri
XRDF-12070,12070,BABYGESIC-250 SUPP.,PARACETAMOL,250 MG/SUPP.,تحاميل,FOR /10/SUPP.STRIPS,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12070
XRDF-12071,12071,ATRACURIUM ELSAAD-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 5ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12071
XRDF-12072,12072,BABYGESIC-60 SUPP.,PARACETAMOL,60 MG/SUPP.,تحاميل,FOR /10/SUPP.STRIPS,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12072
XRDF-12073,12073,ATRACURIUM-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 5ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12073
XRDF-12074,12074,BABY-PLUS DROP,VIT.A+D2+C+SODIUM FLUORIDE+IRON,غير محدد,نقط فموية,FOR /25/ML.ORAL DROP IN GLASS BOTTLE &amp; DROPPER,الشركة السورية للدواء ( فارماسير),SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12074
XRDF-12075,12075,ATRACURIUM-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /100/AMP.OF 5ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12075
XRDF-12076,12076,BACLOFEN KANAWATI-10 TAB.,BACLOFEN,10 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,معمل القنواتي للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12076
XRDF-12077,12077,ATRIUM-25 AMP.,ATRACURIUM BESYLATE,25 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 2.5ML.,شركة شفا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12077
XRDF-12078,12078,BACLOFEN KANAWATI-20 TAB.,BACLOFEN,20 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,معمل القنواتي للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12078
XRDF-12079,12079,ATRIUM-25 AMP.,ATRACURIUM BESYLATE,25 MG/AMP.,محلول للحقن/حبابات,FOR /100/AMP.OF 2.5ML.,شركة شفا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12079
XRDF-1208,1208,VALIOPAM 10,DIAZEPAM,10 MG/ TAB.,أقراص,FOR /20/TAB.BLISTER,شركة سيفارما للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1208
XRDF-12080,12080,BACLOTIN-10 TAB.,BACLOFEN,10 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,شركة دومنا للصناعة الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12080
XRDF-12081,12081,ATRIUM-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 5ML.,شركة شفا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12081
XRDF-12082,12082,BACLOTIN-25 TAB.,BACLOFEN,25 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,شركة دومنا للصناعة الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12082
XRDF-12083,12083,ATRIUM-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /100/AMP.OF 5ML.,شركة شفا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12083
XRDF-12084,12084,BACT OFF -200 CTD TAB.,OFLOXACIN,200 MG/CTD TAB.,أقراص ملبسة,FOR /10/CTD TAB.BLISTER,معمل الشهباء لصناعة الادوية البشرية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12084
XRDF-12085,12085,ATROMBEX***10,CISATRACURIUM,10 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 5 ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12085
XRDF-12086,12086,BACT OFF -400 CTD TAB.,OFLOXACIN,400 MG/CTD TAB.,أقراص ملبسة,FOR /10/CTD TAB.BLISTER,معمل الشهباء لصناعة الادوية البشرية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12086
XRDF-12087,12087,ATROMBEX***4,CISATRACURIUM,4 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 2ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12087
XRDF-12088,12088,BACTAPEN-1500 VIAL,AMPICILLIN+SULBACTAM,1000 MG+500 MG/VIAL,بودرة للحقن/فيال,FOR /1/VIAL,الشركة الوطنية للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12088
XRDF-12089,12089,ATROPINA-0.5 % EYE DROPS,ATROPINE SULFATE,0.5 %,قطرة عينية,FOR /8/ML.EYE DROP IN GLASS BOTTLE,معمل دلتا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12089
